,elbo,segment
0,20404.74214569302,0
1,18334.615648162366,0
2,15443.020728234946,0
3,14335.742467263342,0
4,13065.283880129457,0
5,12692.652830640973,0
6,12242.919838911295,0
7,11602.829845762253,0
8,11317.868097680806,0
9,11014.096237614753,0
10,10799.336563032866,0
11,10537.734969246387,0
12,10361.643540784717,0
13,10264.704720041156,0
14,10147.952796182039,0
15,10067.297610494494,0
16,9990.303231531381,0
17,9881.255527549984,0
18,9773.494872766732,0
19,9728.940939146281,0
20,9689.34722738564,0
21,9660.426368343831,0
22,9627.377018013596,0
23,9605.985042786599,0
24,9512.799959400296,0
25,9494.388135054709,0
26,9461.353074890376,0
27,9433.494534718991,0
28,9404.70276504159,0
29,9379.20692165643,0
30,9411.037582492827,0
31,9350.510863777994,0
32,9332.102727633715,0
33,9365.27239486873,0
34,9311.354773297908,0
35,9334.017938637733,0
36,9296.451357877255,0
37,9265.764729340375,0
38,9265.247692334651,0
39,9252.714488643409,0
40,9255.001164650917,0
41,9272.852417939901,0
42,9220.641545531153,0
43,9218.769950300455,0
44,9234.493616691232,0
45,9200.411015820502,0
46,9194.970968107878,0
47,9205.93155568689,0
48,9224.059425969423,0
49,9173.622677826135,0
50,9181.141643128543,0
51,9186.187958011777,0
52,9160.001006138324,0
53,9196.235270857813,0
54,9137.527568843961,0
55,9139.602253708244,0
56,9135.134692982956,0
57,9127.836456171051,0
58,9118.910777837038,0
59,9124.549125433712,0
60,9108.858040319385,0
61,9102.754973279312,0
62,9134.021985922753,0
63,9206.747072547674,0
64,9106.419164320081,0
65,9094.586356468499,0
66,9107.208481818903,0
67,9094.463110700994,0
68,9094.495883060992,0
69,9084.976556411386,0
70,9085.105702469498,0
71,9076.539829587564,0
72,9088.64584551677,0
73,9064.673330801166,0
74,9077.026153448223,0
75,9060.799340500496,0
76,9053.772018325328,0
77,9058.174984629824,0
78,9044.024510594085,0
79,9049.58779066205,0
80,9050.882252724468,0
81,9058.694844585658,0
82,9046.459612113236,0
83,9033.659930959344,0
84,9047.057199373841,0
85,9034.684508761018,0
86,9034.241837442667,0
87,9032.985447639228,0
88,9025.149414249508,0
89,9023.270472431184,0
90,9018.329316594452,0
91,9010.602861894668,0
92,9017.889322770388,0
93,9015.104138554634,0
94,9013.444669286908,0
95,9007.84533533007,0
96,9008.227455170452,0
97,9006.538334785402,0
98,9010.058959265054,0
99,9005.971912674606,0
100,9001.30149101019,0
101,8998.179450806974,0
102,8993.833666960894,0
103,9004.387145435065,0
104,8995.461422621458,0
105,8989.685932552817,0
106,8998.426650223137,0
107,8986.651231099664,0
108,8992.431414879858,0
109,8991.514280766249,0
110,8987.397131933272,0
111,8981.369912516326,0
112,8991.404385748505,0
113,8986.108235548436,0
114,8980.405895915626,0
115,8995.573440375923,0
116,8985.082942682504,0
117,8971.383339492977,0
118,8980.135512754321,0
119,8977.151183708758,0
120,8981.934003081918,0
121,8980.11628717631,0
122,8976.514931096137,0
123,8981.293464243412,0
124,8976.501105853915,0
125,8975.179298883675,0
126,8968.018416157363,0
127,8966.9045688048,0
128,8971.420624586939,0
129,8975.688518756628,0
130,8968.369466745853,0
131,8968.277077390254,0
132,8969.039829029145,0
133,8973.970210155843,0
134,8971.303906653076,0
135,8963.199067293854,0
136,8967.010081905872,0
137,8963.992445889115,0
138,8956.766313952954,0
139,8955.693344589323,0
140,8959.280307988078,0
141,8954.202671175452,0
142,8955.18616155237,0
143,8955.941758515686,0
144,8955.998044545204,0
145,8950.689026512206,0
146,8952.946039947125,0
147,8951.329326842726,0
148,8946.260908196866,0
149,8953.410175663232,0
150,8947.97405667901,0
151,8952.732101269066,0
152,8948.686831630022,0
153,8948.439743790032,0
154,8949.716386038066,0
155,8941.210065492989,0
156,8943.614480153472,0
157,8949.23405867368,0
158,8944.489844507725,0
159,8942.058571049572,0
160,8935.698614555598,0
161,8948.77872671187,0
162,8939.323329533636,0
163,8937.257890916617,0
