,elbo,segment
0,43875.08122905494,0
1,18753.178610470146,0
2,16321.896064722536,0
3,14980.991865840555,0
4,13952.795899012683,0
5,13061.63083320856,0
6,12110.051226010917,0
7,11642.433549484611,0
8,11153.453960466384,0
9,10618.134204903246,0
10,10605.040951842067,0
11,10072.54473130405,0
12,9961.773808401824,0
13,9795.265946739912,0
14,9980.449203920365,0
15,9653.546129077673,0
16,9529.309985131025,0
17,9573.808395028114,0
18,9445.96111073494,0
19,9316.578730827569,0
20,9287.711294683813,0
21,9226.346549624204,0
22,9221.953538510204,0
23,10097.882286942006,0
24,9066.49517197013,0
25,9119.432948949934,0
26,9081.620695629716,0
27,8930.865909039974,0
28,9518.550223854185,0
29,8939.883332335949,0
30,8926.66109300554,0
31,8934.115950614214,0
32,8861.830175709725,0
33,8824.650560317934,0
34,8824.432007794083,0
35,8760.662578135729,0
36,8734.233607289196,0
37,8758.235735103488,0
38,8763.679779595137,0
39,8725.383266988396,0
40,8685.951036390663,0
41,8716.26964688301,0
42,8685.960726463794,0
43,8641.657588931917,0
44,8649.933828526735,0
45,8627.577256383001,0
46,8658.500364387035,0
47,8619.262769159675,0
48,8634.884981887042,0
49,8611.75093484819,0
50,8603.08032770157,0
51,8627.501283973455,0
52,8684.79577986151,0
53,8563.809215006233,0
54,8572.698640117049,0
55,8557.23636765182,0
56,8518.227848882974,0
57,8666.2491240561,0
58,8567.97091189623,0
59,8570.687487187983,0
60,8567.501576589048,0
61,8513.171505360306,0
62,8566.363812977077,0
63,8533.661561211942,0
64,8537.525932496785,0
65,8587.507331773639,0
66,8513.616511628032,0
67,8624.078727164864,0
68,8505.607664838433,0
69,8573.695153772831,0
70,8534.99965802878,0
71,8519.586447459458,0
72,8551.92686982751,0
73,8520.111875395478,0
74,8561.377633227408,0
75,8458.672262012959,0
76,8523.404674389958,0
77,8745.504943329095,0
78,8482.322077675908,0
79,8471.306548649072,0
80,8500.83982937038,0
81,8479.810267376899,0
82,8476.197776822744,0
83,8472.284557849169,0
84,8488.592249293626,0
85,8501.825894734262,0
86,8509.254970698057,0
87,8476.470838163794,0
88,8491.575247092545,0
89,8479.811368751525,0
90,8445.970815274117,0
91,8519.702183979749,0
92,8501.201921983062,0
93,8549.952048695088,0
94,8484.144397842883,0
95,8477.390759706499,0
96,8502.683102950456,0
97,8449.558705316484,0
98,8462.243772667645,0
99,8498.877119404076,0
100,8443.743969605863,0
101,8479.328959859908,0
102,8445.982765901088,0
103,8478.60325652063,0
104,8450.997792571783,0
105,8464.280999171735,0
106,8431.851221859455,0
107,8530.940850180388,0
108,8426.153175619245,0
109,8469.20284485817,0
110,8472.748530058563,0
111,8443.136149695516,0
112,8510.526528263092,0
113,8454.454696726798,0
114,8449.677461333573,0
115,8458.628130482139,0
116,8442.221191166342,0
117,8429.502650815248,0
118,8442.643243399263,0
119,8424.937440012396,0
120,8426.958131150901,0
121,8433.052837388217,0
122,8432.497765588761,0
123,8462.511929762362,0
124,8402.979288387298,0
125,8437.279508787395,0
126,8417.059229412675,0
127,8454.249315965175,0
128,8464.0301614061,0
129,8446.994391575456,0
130,8443.909242805837,0
131,8404.738607826828,0
132,8423.005771899223,0
133,8411.278939965367,0
134,8407.748692566158,0
135,8491.08125321567,0
136,8417.179132825137,0
137,8480.947911214827,0
138,8430.936918175219,0
139,8419.281671455501,0
140,8436.260794460772,0
141,8428.93685466349,0
142,8407.621666896344,0
143,8429.965956845877,0
144,8425.806977552176,0
145,8418.950232765077,0
146,8418.030805438759,0
147,8405.459993582965,0
148,8402.085088288783,0
149,8408.592086777091,0
150,8428.241065347194,0
151,8415.038699153065,0
152,8387.360890358686,0
153,8440.78661097288,0
154,8401.516056089104,0
155,8432.897818458081,0
156,8393.628656771778,0
157,8410.066027097404,0
158,8382.354937785865,0
159,8398.131726787984,0
160,8439.948442329467,0
161,8418.994708132743,0
162,8407.93768954277,0
163,8397.897202852368,0
164,8413.948899197578,0
165,8407.680216169358,0
166,8364.11772772968,0
167,8415.051419955493,0
168,8395.018184943498,0
169,8424.865442165734,0
170,8410.50311768651,0
171,8697.967743298412,0
172,8398.577382023632,0
173,8392.948132768273,0
174,8386.474426297844,0
175,8388.795841166377,0
176,8386.76959297359,0
177,8382.836834430695,0
178,8391.050700175763,0
179,8407.432519933582,0
180,8400.381343813242,0
181,8394.578253795207,0
182,8398.05976204425,0
183,8403.400585626066,0
184,8366.791184152664,0
185,8406.610351982714,0
186,8372.238042265177,0
187,8395.816112689674,0
188,8390.379165525736,0
189,8396.525930041074,0
190,8390.433328589797,0
191,8377.637842389942,0
