,elbo,condition
115,7197.563375344872,hard
116,7200.829417449236,hard
117,7213.00525289774,hard
118,7205.961965441704,hard
119,7202.3009864240885,hard
120,7196.900528517365,hard
121,7199.230171772838,hard
122,7206.272409081458,hard
123,7188.580710881948,hard
124,7197.008108174801,hard
125,7193.569890952111,hard
126,7198.288836252689,hard
127,7180.892777782678,hard
128,7192.779640066624,hard
129,7186.917225173115,hard
130,7190.387697193026,hard
131,7191.901054245232,hard
132,7197.387875315548,hard
133,7189.752009907365,hard
134,7189.634424048663,hard
135,7178.5186361610895,hard
136,7174.983636772633,hard
137,7184.657325315476,hard
138,7191.387448519468,hard
139,7175.292964211108,hard
140,7181.517193937301,hard
141,7182.441182556749,hard
142,7175.308890676499,hard
143,7180.316334941983,hard
144,7172.029371118547,hard
145,7168.418639424443,hard
146,7173.75085721016,hard
147,7173.130692079663,hard
148,7177.783470261097,hard
149,7175.7026838243,hard
150,7167.786371093989,hard
151,7174.97525523901,hard
152,7169.902910292149,hard
153,7172.9688456147915,hard
154,7177.552593559027,hard
155,7167.135178247094,hard
156,7177.634045323731,hard
157,7174.538644167781,hard
158,7163.624501699209,hard
159,7164.73006977737,hard
160,7167.598781093954,hard
161,7169.756748443842,hard
162,7164.30632327199,hard
163,7178.558951604366,hard
164,7169.414736992121,hard
165,7163.939247208834,hard
166,7162.634437558055,hard
167,7170.644126263261,hard
168,7166.071990564466,hard
169,7164.037379705906,hard
170,7168.3017130404705,hard
171,7165.985146132112,hard
172,7162.170010757448,hard
173,7167.337210673092,hard
174,7164.66760045588,hard
175,7159.534532785416,hard
176,7158.894732609391,hard
177,7157.026836532355,hard
178,7166.318605136872,hard
179,7159.810297986865,hard
180,7156.153382116557,hard
181,7167.458232158424,hard
182,7155.027201002837,hard
183,7160.713092720508,hard
184,7165.82435772717,hard
185,7151.859077328445,hard
186,7156.840459227561,hard
187,7161.561478668451,hard
188,7159.790993860365,hard
189,7161.121414789559,hard
190,7156.52602931261,hard
191,7159.98490653634,hard
192,7165.27452889681,hard
193,7157.000457656383,hard
194,7151.441537308693,hard
195,7156.610743138193,hard
196,7151.768490800261,hard
197,7155.059033241869,hard
198,7155.45420434773,hard
199,7153.011826157569,hard
200,11476.159953153132,medium
201,10053.687894785406,medium
202,9286.81704980135,medium
203,9068.907551556824,medium
204,9355.227176952361,medium
205,8648.703217351436,medium
206,8571.097780883312,medium
207,8499.402956438065,medium
208,8296.409685719012,medium
209,8326.522432994843,medium
210,8315.429142844678,medium
211,8275.247622334957,medium
212,8166.703569471837,medium
213,8265.214861032366,medium
214,8106.7114787787195,medium
215,8126.478211975099,medium
216,8081.195846110583,medium
217,8004.186755931377,medium
218,8038.161218678952,medium
219,8050.606534588336,medium
220,8030.764747822284,medium
221,7977.346363711357,medium
222,7961.8551360756155,medium
223,7902.564757835866,medium
224,7906.252800023555,medium
225,7876.435371249914,medium
226,7825.691512969135,medium
227,7802.3926051765675,medium
228,7861.9372414588925,medium
229,7829.812187892198,medium
230,7828.012584704161,medium
231,7835.37794880271,medium
232,7800.347088408472,medium
233,7752.781434047223,medium
234,7728.688356646895,medium
235,7708.435877378285,medium
236,7689.2451320678,medium
237,7675.850294134021,medium
238,7648.200817891956,medium
239,7632.8803635329,medium
240,7658.709153449535,medium
241,7605.6939838022,medium
242,7582.398103192449,medium
243,7602.004278644919,medium
244,7568.711926651002,medium
245,7558.705999734998,medium
246,7586.978889012336,medium
247,7549.1988211184735,medium
248,7532.540131364762,medium
249,7531.494009044767,medium
250,7526.127765998244,medium
251,7551.956012972445,medium
252,7520.1574913978575,medium
253,7519.410179667175,medium
254,7512.1266649991285,medium
255,7545.045052340627,medium
256,7489.87094917968,medium
257,7481.413755431772,medium
258,7509.769113773107,medium
259,7512.965777975321,medium
260,7470.716656780243,medium
261,7463.038191188871,medium
262,7483.196001900733,medium
263,7470.992660348117,medium
264,7467.887123774739,medium
265,7453.624818743019,medium
266,7462.061110974104,medium
267,7463.126075077057,medium
268,7458.864163213969,medium
269,7450.378437444569,medium
270,7446.306569457053,medium
271,7434.982353490592,medium
272,7441.7323930710545,medium
273,7432.468845488132,medium
274,7434.538804786652,medium
275,7442.252087976783,medium
276,7440.608955775947,medium
277,7454.355518575012,medium
278,7450.393423548341,medium
279,7438.905366978049,medium
280,7434.766404145956,medium
281,7416.519027870894,medium
282,7426.458768490702,medium
283,7427.132231129706,medium
284,7436.43754914105,medium
285,7419.793362635747,medium
286,7422.125038202106,medium
287,7414.290827221423,medium
288,7427.664068733156,medium
289,7421.51821231097,medium
290,7417.996037408709,medium
291,7417.140759220719,medium
292,7418.251174752415,medium
293,7419.343218374252,medium
294,7425.569738969207,medium
295,7411.535286836325,medium
296,7410.106062574685,medium
297,7415.675637090951,medium
298,7399.008988111466,medium
299,7406.287783738971,medium
300,7412.727353631705,medium
301,7407.567326000333,medium
302,7405.832403871417,medium
303,7412.468198721856,medium
304,7411.863217708468,medium
305,7409.774614933878,medium
306,7410.659702810645,medium
307,7392.870111212134,medium
308,7398.861965797841,medium
309,7410.1484571240835,medium
310,7391.059692361951,medium
311,7395.325604632497,medium
312,7406.164361599088,medium
313,7387.546837994457,medium
314,7381.605785900354,medium
315,7403.623167969287,medium
316,7407.797890394926,medium
317,7386.145945703983,medium
318,7398.502245958149,medium
319,7387.918120847642,medium
320,7389.785430169106,medium
321,7384.622926039994,medium
322,7384.732847706228,medium
323,7382.364937663077,medium
324,7385.75420178026,medium
325,7382.033010315895,medium
326,7394.581671895087,medium
327,7384.096085944771,medium
328,7382.640417394042,medium
329,7382.449744662643,medium
330,7390.678132110834,medium
331,7374.862091404199,medium
332,7388.216120198369,medium
333,7392.140689200162,medium
334,7385.964889645577,medium
335,7383.198097054661,medium
336,7391.166135133803,medium
337,7381.398260644077,medium
338,7384.847448767722,medium
339,7378.557220605016,medium
340,7367.376799896359,medium
341,7375.158355545998,medium
342,7385.416836234926,medium
343,7384.326856459677,medium
344,7383.918507423997,medium
345,7379.638118174673,medium
346,7382.480606894194,medium
347,7376.282348069549,medium
348,7376.370451820641,medium
349,7377.972161976994,medium
350,7371.527305871248,medium
351,7386.9856298983095,medium
352,7371.308632782101,medium
353,7392.11349168718,medium
354,7374.476454946399,medium
355,7374.366575865447,medium
356,7367.86427333504,medium
357,7373.733466508985,medium
358,7384.010030263663,medium
359,7374.549163532257,medium
360,7371.632801237702,medium
361,7373.383873467148,medium
362,7372.80974074006,medium
363,7381.019835904241,medium
364,7370.872924631834,medium
365,7368.365420886875,medium
366,7374.243109339477,medium
367,7370.833751881123,medium
368,7372.646491066365,medium
369,7369.036958464981,medium
370,7374.922738265993,medium
371,7364.707818764448,medium
372,7375.679078736901,medium
373,7376.5879633694885,medium
374,7366.343069419264,medium
375,7371.689124071599,medium
376,7365.379279989003,medium
377,7367.191806992889,medium
378,7367.232500675321,medium
379,7376.858683505655,medium
380,7371.547383391857,medium
381,7365.200427034497,medium
382,7367.508590441942,medium
383,7370.011631184816,medium
384,7367.275254698098,medium
385,7367.056509125232,medium
