,beta,bias,gamma,kappa
0,0.6912529468536377,0.5757982730865479,4.07452392578125,0.14090190827846527
1,0.535619854927063,0.5509570240974426,4.137271404266357,0.09762905538082123
2,0.3369954824447632,0.6323888301849365,3.724687337875366,0.19025859236717224
3,0.6585714221000671,0.520211398601532,4.271452903747559,-0.019459381699562073
4,0.6564012765884399,0.5094428658485413,4.05796480178833,-0.009575225412845612
5,0.7821685075759888,0.49156904220581055,4.071671485900879,0.07602855563163757
6,0.8237302303314209,0.5299111604690552,4.399183750152588,0.02907489240169525
7,0.6795229315757751,0.5545285940170288,4.537945747375488,0.1202300488948822
8,0.8810445070266724,0.4616287350654602,4.222916126251221,0.22436626255512238
9,0.6527590155601501,0.5242423415184021,4.017796993255615,0.153707355260849
10,0.4133452773094177,0.5595746040344238,4.089478969573975,0.09629745781421661
11,0.6932162642478943,0.5006507039070129,4.178836822509766,0.14980709552764893
12,0.630736768245697,0.5835152268409729,4.027796745300293,0.20358654856681824
13,0.46630871295928955,0.6317417621612549,3.696059465408325,0.10363959521055222
14,0.4947396218776703,0.5506471395492554,4.370479583740234,-0.002875708043575287
15,0.7067877054214478,0.532878577709198,4.024796962738037,0.019467443227767944
16,0.4309161901473999,0.6052260398864746,4.263492584228516,0.1412484049797058
17,0.5711610913276672,0.5356721878051758,4.067309379577637,0.15895384550094604
18,0.5798525810241699,0.5818147659301758,4.222579002380371,0.04041112959384918
19,0.7062770128250122,0.47707974910736084,4.200795650482178,0.1894828975200653
20,0.4014502167701721,0.6020699143409729,3.8522472381591797,0.09862764179706573
21,0.39931994676589966,0.5679037570953369,4.130410671234131,0.17822694778442383
22,0.4622460603713989,0.5523103475570679,4.052049160003662,0.09364564716815948
23,0.7559774518013,0.4697965383529663,4.081800937652588,-0.0033828318119049072
24,0.7628912329673767,0.5566673874855042,4.358017921447754,0.018116280436515808
25,0.4000135362148285,0.5975411534309387,4.013296604156494,0.05476239323616028
26,0.5574902296066284,0.587383508682251,3.963961601257324,0.11797571927309036
27,0.4908410906791687,0.5554426312446594,4.149606227874756,0.0962957963347435
28,0.6516815423965454,0.5326134562492371,3.9152352809906006,0.12865830957889557
29,0.5833151340484619,0.5109444856643677,4.143686771392822,0.04498492181301117
30,0.557013750076294,0.6092743277549744,3.6807382106781006,0.12465740740299225
31,0.6077325940132141,0.5850021243095398,4.479584217071533,-0.018490202724933624
32,0.6250259280204773,0.5423384308815002,4.008092880249023,0.1673283576965332
33,0.3587115705013275,0.6384783983230591,4.201395511627197,0.11306039988994598
34,0.4635412096977234,0.5591012239456177,4.3099775314331055,-0.02662782371044159
35,0.5137066841125488,0.5371221899986267,4.029542922973633,0.09566399455070496
36,0.5775129795074463,0.5462357401847839,4.128812789916992,-0.03914150595664978
37,0.4733474850654602,0.6067681312561035,4.055205821990967,0.045868150889873505
38,0.5528601408004761,0.5424511432647705,4.125814437866211,0.09801795333623886
39,0.7307911515235901,0.5190672874450684,4.149062633514404,0.16992473602294922
40,0.6267828941345215,0.49529001116752625,4.271324157714844,0.18281280994415283
41,0.4599573612213135,0.6243652701377869,4.02239990234375,-0.005378708243370056
42,0.5925122499465942,0.5999317765235901,4.611624717712402,-0.051927149295806885
43,0.7151073217391968,0.503257155418396,4.056938171386719,0.1745600700378418
44,0.5558580160140991,0.5833172798156738,4.152276039123535,0.065660260617733
45,0.4577906131744385,0.554835855960846,4.052577972412109,0.03769230097532272
46,0.643349289894104,0.5205330848693848,4.1681437492370605,0.15876097977161407
47,0.4663688540458679,0.5498969554901123,3.866638660430908,0.11583757400512695
48,0.6598231196403503,0.48372530937194824,3.944963216781616,0.22387182712554932
49,0.379354864358902,0.6464560031890869,4.009979724884033,0.20796923339366913
50,0.514703094959259,0.5268036127090454,4.358268737792969,0.07029764354228973
51,0.9104098081588745,0.428861141204834,4.193467140197754,0.10759253799915314
52,0.8376747369766235,0.5195882320404053,4.119909763336182,0.10130024701356888
53,0.5651963353157043,0.5754117965698242,4.276007175445557,0.07469242811203003
54,0.7135035991668701,0.5541173815727234,4.37614631652832,0.010035857558250427
55,0.5070706605911255,0.572784423828125,3.9918553829193115,0.13896122574806213
56,0.7138478755950928,0.510361909866333,4.18223237991333,0.203865185379982
57,0.7838530540466309,0.4964417517185211,4.11678409576416,0.11105344444513321
58,0.47511184215545654,0.6012281775474548,3.82723331451416,0.13896217942237854
59,0.901229977607727,0.4631044566631317,4.068068027496338,0.10399362444877625
60,0.2276393175125122,0.6897772550582886,3.8643455505371094,0.057745352387428284
61,0.5103387832641602,0.5287908911705017,4.117480754852295,0.15890270471572876
62,0.7308906316757202,0.4653063416481018,4.391732215881348,0.09502589702606201
63,0.5292852520942688,0.5168348550796509,3.8367135524749756,0.21992658078670502
64,0.6693625450134277,0.5610758066177368,4.0214056968688965,0.1772053986787796
65,0.892899751663208,0.4596773087978363,4.503699779510498,0.17376817762851715
66,0.5253838300704956,0.5913118720054626,3.925236701965332,0.262382447719574
67,0.4758192300796509,0.5782877802848816,4.140986919403076,0.1131555363535881
68,0.5203298330307007,0.6049920916557312,3.9681766033172607,0.049335673451423645
69,0.6160826086997986,0.490497350692749,3.9686062335968018,0.09941577166318893
70,0.8016431927680969,0.5020921230316162,3.8606009483337402,0.1227492168545723
71,0.6231255531311035,0.5193465948104858,4.007667541503906,0.07664614915847778
72,0.3792836666107178,0.624561071395874,3.716062068939209,0.04689668491482735
73,0.7371839284896851,0.5492821335792542,4.27105712890625,0.07037606835365295
74,0.3775116801261902,0.6080891489982605,4.081279754638672,-0.03271746635437012
75,0.8462685346603394,0.47867050766944885,4.22448205947876,0.14302118122577667
76,0.5575776696205139,0.5571193695068359,4.41025447845459,0.09869859367609024
77,0.6022931933403015,0.5658127665519714,3.882301092147827,0.07822644710540771
78,0.5959017276763916,0.5056055784225464,4.107336044311523,0.212842658162117
79,0.7739453315734863,0.5741257071495056,4.051759243011475,0.07050466537475586
80,0.7116732597351074,0.4427970051765442,4.287612438201904,0.12700255215168
81,0.8811171650886536,0.5095155239105225,4.294398784637451,0.2725132703781128
82,0.6519487500190735,0.5703373551368713,4.123223304748535,0.09398005902767181
83,0.6377752423286438,0.5240411162376404,4.05689001083374,0.061482105404138565
84,0.42625540494918823,0.5639958381652832,4.057566165924072,0.11047843843698502
85,0.5557894706726074,0.5927849411964417,3.962158679962158,0.058620091527700424
86,0.705548882484436,0.4826620817184448,4.030604839324951,0.15932506322860718
87,0.4797099828720093,0.5462942719459534,4.104373931884766,0.043170150369405746
88,0.7096688151359558,0.49905192852020264,4.064635276794434,0.12562067806720734
89,0.72117680311203,0.5591995716094971,4.585537910461426,0.07554817944765091
90,1.0307068824768066,0.46367862820625305,4.363733291625977,0.0707039088010788
91,0.5698832273483276,0.5567764639854431,3.841007709503174,0.06301360577344894
92,0.8614357709884644,0.5060715675354004,4.026426315307617,0.22101560235023499
93,0.8898922204971313,0.4900614321231842,4.318129539489746,0.07635872066020966
94,0.6825891733169556,0.5076087117195129,4.240959167480469,0.1252157986164093
95,0.6512871980667114,0.5161214470863342,4.072513580322266,0.18369269371032715
96,0.6943511962890625,0.5063238143920898,4.055191516876221,0.24659469723701477
