,subjects,variables,parameter,value
692,70,median,bias_1,100.0
693,71,median,bias_1,100.0
694,72,median,bias_1,100.0
695,73,median,bias_1,100.0
696,74,median,bias_1,100.0
697,75,median,bias_1,100.0
698,76,median,bias_1,100.0
699,77,median,bias_1,100.0
700,78,median,bias_1,100.0
701,79,median,bias_1,100.0
702,80,median,bias_1,100.0
703,81,median,bias_1,100.0
704,82,median,bias_1,100.0
705,83,median,bias_1,100.0
706,84,median,bias_1,100.0
707,85,median,bias_1,100.0
708,86,median,bias_1,100.0
709,87,median,bias_1,100.0
710,88,median,bias_1,100.0
711,89,median,bias_1,100.0
712,1,95th,bias_1,100.0
713,2,95th,bias_1,100.0
714,3,95th,bias_1,100.0
715,4,95th,bias_1,100.0
716,5,95th,bias_1,100.0
717,6,95th,bias_1,100.0
718,7,95th,bias_1,100.0
719,8,95th,bias_1,100.0
720,9,95th,bias_1,100.0
721,10,95th,bias_1,100.0
722,11,95th,bias_1,100.0
723,12,95th,bias_1,100.0
724,13,95th,bias_1,100.0
725,14,95th,bias_1,100.0
726,15,95th,bias_1,100.0
727,16,95th,bias_1,100.0
728,17,95th,bias_1,100.0
729,18,95th,bias_1,100.0
730,19,95th,bias_1,100.0
731,20,95th,bias_1,100.0
732,21,95th,bias_1,100.0
733,22,95th,bias_1,100.0
734,23,95th,bias_1,100.0
735,24,95th,bias_1,100.0
736,25,95th,bias_1,100.0
737,26,95th,bias_1,100.0
738,27,95th,bias_1,100.0
739,28,95th,bias_1,100.0
740,29,95th,bias_1,100.0
741,30,95th,bias_1,100.0
742,31,95th,bias_1,100.0
743,32,95th,bias_1,100.0
744,33,95th,bias_1,100.0
745,34,95th,bias_1,100.0
746,35,95th,bias_1,100.0
747,36,95th,bias_1,100.0
748,37,95th,bias_1,100.0
749,38,95th,bias_1,100.0
750,39,95th,bias_1,100.0
751,40,95th,bias_1,100.0
752,41,95th,bias_1,100.0
753,42,95th,bias_1,100.0
754,43,95th,bias_1,100.0
755,44,95th,bias_1,100.0
756,45,95th,bias_1,100.0
757,46,95th,bias_1,100.0
758,47,95th,bias_1,100.0
759,48,95th,bias_1,100.0
760,49,95th,bias_1,100.0
761,50,95th,bias_1,100.0
762,51,95th,bias_1,100.0
763,52,95th,bias_1,100.0
764,53,95th,bias_1,100.0
765,54,95th,bias_1,100.0
766,55,95th,bias_1,100.0
767,56,95th,bias_1,100.0
768,57,95th,bias_1,100.0
769,58,95th,bias_1,100.0
770,59,95th,bias_1,100.0
771,60,95th,bias_1,100.0
772,61,95th,bias_1,100.0
773,62,95th,bias_1,100.0
774,63,95th,bias_1,100.0
775,64,95th,bias_1,100.0
776,65,95th,bias_1,100.0
777,66,95th,bias_1,100.0
778,67,95th,bias_1,100.0
779,68,95th,bias_1,100.0
780,69,95th,bias_1,100.0
781,70,95th,bias_1,100.0
782,71,95th,bias_1,100.0
783,72,95th,bias_1,100.0
784,73,95th,bias_1,100.0
785,74,95th,bias_1,100.0
786,75,95th,bias_1,100.0
787,76,95th,bias_1,100.0
788,77,95th,bias_1,100.0
789,78,95th,bias_1,100.0
790,79,95th,bias_1,100.0
791,80,95th,bias_1,100.0
792,81,95th,bias_1,100.0
793,82,95th,bias_1,100.0
794,83,95th,bias_1,100.0
795,84,95th,bias_1,100.0
796,85,95th,bias_1,100.0
797,86,95th,bias_1,100.0
798,87,95th,bias_1,100.0
799,88,95th,bias_1,100.0
800,89,95th,bias_1,100.0
801,1,5th,bias_2,-0.3794234573841095
802,2,5th,bias_2,1.2795135438442231
803,3,5th,bias_2,-0.47803909927606586
804,4,5th,bias_2,0.19540863186120985
805,5,5th,bias_2,0.20643330365419388
806,6,5th,bias_2,0.6611320853233338
807,7,5th,bias_2,0.5174982845783234
808,8,5th,bias_2,-0.2272659786045551
809,9,5th,bias_2,-0.3138006091117859
810,10,5th,bias_2,-0.048620350658893585
811,11,5th,bias_2,0.8800729990005494
812,12,5th,bias_2,0.28560517728328705
813,13,5th,bias_2,0.13844313770532607
814,14,5th,bias_2,0.30405190885066985
815,15,5th,bias_2,0.04792062342166901
816,16,5th,bias_2,0.5204495877027512
817,17,5th,bias_2,-0.12100261226296424
818,18,5th,bias_2,0.36045471429824827
819,19,5th,bias_2,0.8944959104061128
820,20,5th,bias_2,0.24560166448354723
821,21,5th,bias_2,0.7385881006717683
822,22,5th,bias_2,1.5716220259666445
823,23,5th,bias_2,0.047868499904870986
824,24,5th,bias_2,0.3242504954338074
825,25,5th,bias_2,-0.277237369120121
826,26,5th,bias_2,0.45962838679552076
827,27,5th,bias_2,-0.40713682174682614
828,28,5th,bias_2,-0.4706892132759094
829,29,5th,bias_2,-0.01813433468341827
830,30,5th,bias_2,0.8456438809633255
831,31,5th,bias_2,0.22934150323271751
832,32,5th,bias_2,0.11839564144611359
833,33,5th,bias_2,0.428544007241726
834,34,5th,bias_2,0.44236017018556595
835,35,5th,bias_2,0.30021641701459884
836,36,5th,bias_2,0.7930264949798584
837,37,5th,bias_2,0.9850789427757264
838,38,5th,bias_2,0.6121919572353364
839,39,5th,bias_2,0.33494893461465836
840,40,5th,bias_2,0.34195903837680813
841,41,5th,bias_2,0.2347038447856903
842,42,5th,bias_2,0.44311774820089345
843,43,5th,bias_2,0.06503407955169678
844,44,5th,bias_2,0.5648627042770386
845,45,5th,bias_2,0.33654958307743077
846,46,5th,bias_2,0.6758233696222306
847,47,5th,bias_2,-0.2643361255526543
848,48,5th,bias_2,0.44561654031276704
849,49,5th,bias_2,0.1799004577100277
850,50,5th,bias_2,0.17502190917730331
851,51,5th,bias_2,0.48598502278327943
852,52,5th,bias_2,0.30278921574354173
853,53,5th,bias_2,-0.5650773853063584
854,54,5th,bias_2,-0.003361012041568756
855,55,5th,bias_2,-0.2967999771237373
856,56,5th,bias_2,-0.14255298674106598
857,57,5th,bias_2,0.7864139586687089
858,58,5th,bias_2,0.6188315659761429
859,59,5th,bias_2,0.2470972001552582
860,60,5th,bias_2,0.3101054683327675
861,61,5th,bias_2,-0.22197686061263083
862,62,5th,bias_2,0.05358532816171648
863,63,5th,bias_2,0.29863872230052946
864,64,5th,bias_2,0.27025766372680665
865,65,5th,bias_2,1.015669220685959
866,66,5th,bias_2,0.05232090801000596
867,67,5th,bias_2,0.7912096470594406
868,68,5th,bias_2,0.1148937113583088
869,69,5th,bias_2,0.2827815115451813
870,70,5th,bias_2,0.2021134175360203
871,71,5th,bias_2,-0.5101453214883804
872,72,5th,bias_2,0.41231687664985656
873,73,5th,bias_2,0.8795958548784255
874,74,5th,bias_2,0.23449174910783768
875,75,5th,bias_2,0.9693031191825866
876,76,5th,bias_2,0.5010747537016869
877,77,5th,bias_2,0.2769450843334198
878,78,5th,bias_2,-0.19976570904254912
879,79,5th,bias_2,-0.09669321328401564
880,80,5th,bias_2,0.14030168280005456
881,81,5th,bias_2,0.510615473985672
882,82,5th,bias_2,0.4840392738580704
883,83,5th,bias_2,1.4661863923072815
884,84,5th,bias_2,0.16643960922956466
885,85,5th,bias_2,-0.11004019007086754
886,86,5th,bias_2,-0.16902327463030814
887,87,5th,bias_2,0.3595517262816429
888,88,5th,bias_2,0.025405116379261017
889,89,5th,bias_2,0.6066493630409241
890,1,median,bias_2,-0.19113429635763168
891,2,median,bias_2,1.553688883781433
892,3,median,bias_2,-0.27580684423446655
893,4,median,bias_2,0.39382269978523254
894,5,median,bias_2,0.39409977197647095
895,6,median,bias_2,0.8518226444721222
896,7,median,bias_2,0.7129577100276947
897,8,median,bias_2,-0.03443341702222824
898,9,median,bias_2,-0.1361992135643959
899,10,median,bias_2,0.16172664612531662
900,11,median,bias_2,1.1106653809547424
901,12,median,bias_2,0.47344906628131866
902,13,median,bias_2,0.3374933898448944
903,14,median,bias_2,0.5096145272254944
904,15,median,bias_2,0.24953550845384598
905,16,median,bias_2,0.7212013602256775
906,17,median,bias_2,0.06652113422751427
907,18,median,bias_2,0.5847835838794708
908,19,median,bias_2,1.1431608200073242
909,20,median,bias_2,0.4852084666490555
910,21,median,bias_2,0.9610144793987274
911,22,median,bias_2,1.8432741165161133
912,23,median,bias_2,0.24268827587366104
913,24,median,bias_2,0.5332857966423035
914,25,median,bias_2,-0.09333548694849014
915,26,median,bias_2,0.6628884375095367
916,27,median,bias_2,-0.20849456638097763
917,28,median,bias_2,-0.28059034049510956
918,29,median,bias_2,0.16436483711004257
919,30,median,bias_2,1.0812766551971436
920,31,median,bias_2,0.46722501516342163
921,32,median,bias_2,0.33734819293022156
922,33,median,bias_2,0.6589473187923431
923,34,median,bias_2,0.6852947473526001
924,35,median,bias_2,0.5355750024318695
925,36,median,bias_2,0.9784820675849915
926,37,median,bias_2,1.2285075187683105
927,38,median,bias_2,0.8356734812259674
928,39,median,bias_2,0.5445042252540588
929,40,median,bias_2,0.5546623766422272
930,41,median,bias_2,0.4531840682029724
931,42,median,bias_2,0.6581013202667236
932,43,median,bias_2,0.321273609995842
933,44,median,bias_2,0.7838916480541229
934,45,median,bias_2,0.5511777102947235
935,46,median,bias_2,0.9173348546028137
936,47,median,bias_2,-0.04779763147234917
937,48,median,bias_2,0.6740555763244629
938,49,median,bias_2,0.3822455257177353
939,50,median,bias_2,0.4006579965353012
940,51,median,bias_2,0.694561779499054
941,52,median,bias_2,0.4864390939474106
942,53,median,bias_2,-0.3614673763513565
943,54,median,bias_2,0.1748504564166069
944,55,median,bias_2,-0.09080057591199875
945,56,median,bias_2,0.09441958367824554
946,57,median,bias_2,1.0157603025436401
947,58,median,bias_2,0.8952678143978119
948,59,median,bias_2,0.4325118809938431
949,60,median,bias_2,0.5105102956295013
950,61,median,bias_2,-0.013957506977021694
951,62,median,bias_2,0.3326534777879715
952,63,median,bias_2,0.5559643507003784
953,64,median,bias_2,0.4816926568746567
954,65,median,bias_2,1.271765947341919
955,66,median,bias_2,0.4287593811750412
956,67,median,bias_2,1.0426582098007202
957,68,median,bias_2,0.35558584332466125
958,69,median,bias_2,0.5445164442062378
959,70,median,bias_2,0.4039100706577301
960,71,median,bias_2,-0.27969592809677124
961,72,median,bias_2,0.6244106590747833
962,73,median,bias_2,1.0988700985908508
963,74,median,bias_2,0.4642724096775055
964,75,median,bias_2,1.191044270992279
965,76,median,bias_2,0.7561105489730835
966,77,median,bias_2,0.4954211115837097
967,78,median,bias_2,-0.011137298308312893
968,79,median,bias_2,0.08852351829409599
969,80,median,bias_2,0.3383624106645584
970,81,median,bias_2,0.7342757880687714
971,82,median,bias_2,0.74970743060112
972,83,median,bias_2,1.7343522310256958
973,84,median,bias_2,0.3860822319984436
974,85,median,bias_2,0.09109484776854515
975,86,median,bias_2,0.0714162066578865
976,87,median,bias_2,0.550650417804718
977,88,median,bias_2,0.25232939422130585
978,89,median,bias_2,0.8302100598812103
979,1,95th,bias_2,-0.014596808701753632
980,2,95th,bias_2,1.8230881094932556
981,3,95th,bias_2,-0.07969901561737062
982,4,95th,bias_2,0.6182676374912262
983,5,95th,bias_2,0.5784737408161162
984,6,95th,bias_2,1.062205022573471
985,7,95th,bias_2,0.9140889853239058
986,8,95th,bias_2,0.15572769939899442
987,9,95th,bias_2,0.048839733004569924
988,10,95th,bias_2,0.3705247938632965
989,11,95th,bias_2,1.3391424357891084
990,12,95th,bias_2,0.6625278294086456
991,13,95th,bias_2,0.5373305022716521
992,14,95th,bias_2,0.7097378313541411
993,15,95th,bias_2,0.4561259329319
994,16,95th,bias_2,0.9318267792463302
995,17,95th,bias_2,0.24859797507524478
996,18,95th,bias_2,0.8333743274211883
997,19,95th,bias_2,1.3928977012634276
998,20,95th,bias_2,0.7145693898200988
999,21,95th,bias_2,1.1940712213516236
1000,22,95th,bias_2,2.116893172264099
1001,23,95th,bias_2,0.4489673644304275
1002,24,95th,bias_2,0.7425174802541731
1003,25,95th,bias_2,0.08772154152393338
1004,26,95th,bias_2,0.8788563907146454
1005,27,95th,bias_2,-0.016097481548786218
1006,28,95th,bias_2,-0.08384735435247422
1007,29,95th,bias_2,0.34011496901512145
1008,30,95th,bias_2,1.322890084981918
1009,31,95th,bias_2,0.7309427082538605
1010,32,95th,bias_2,0.5490301817655563
1011,33,95th,bias_2,0.8920798391103744
1012,34,95th,bias_2,0.9126840651035308
1013,35,95th,bias_2,0.7601000845432281
1014,36,95th,bias_2,1.1816874384880065
1015,37,95th,bias_2,1.455410611629486
1016,38,95th,bias_2,1.0515656769275665
1017,39,95th,bias_2,0.759128475189209
1018,40,95th,bias_2,0.7733108699321747
1019,41,95th,bias_2,0.6747174799442291
1020,42,95th,bias_2,0.8745771944522857
1021,43,95th,bias_2,0.5821899056434631
1022,44,95th,bias_2,1.0078590273857115
1023,45,95th,bias_2,0.7555812865495681
1024,46,95th,bias_2,1.1564377546310423
1025,47,95th,bias_2,0.14798750877380343
1026,48,95th,bias_2,0.8893878638744354
1027,49,95th,bias_2,0.5788223832845686
1028,50,95th,bias_2,0.5936017751693724
1029,51,95th,bias_2,0.9070320695638656
1030,52,95th,bias_2,0.6964499294757842
1031,53,95th,bias_2,-0.16025199219584466
1032,54,95th,bias_2,0.3490083873271942
1033,55,95th,bias_2,0.09977190941572187
1034,56,95th,bias_2,0.3112736910581589
1035,57,95th,bias_2,1.2364862918853758
1036,58,95th,bias_2,1.1852142512798307
1037,59,95th,bias_2,0.6239277422428131
1038,60,95th,bias_2,0.7141828000545501
1039,61,95th,bias_2,0.19347377642989158
1040,62,95th,bias_2,0.6138251096010208
1041,63,95th,bias_2,0.7961343139410016
1042,64,95th,bias_2,0.6948488295078278
1043,65,95th,bias_2,1.5136091470718385
1044,66,95th,bias_2,0.769800615310669
1045,67,95th,bias_2,1.2735545337200165
1046,68,95th,bias_2,0.5826248258352279
1047,69,95th,bias_2,0.7774695217609404
1048,70,95th,bias_2,0.6017346054315567
1049,71,95th,bias_2,-0.056005603075027485
1050,72,95th,bias_2,0.8292393863201142
1051,73,95th,bias_2,1.3092632591724396
1052,74,95th,bias_2,0.7089763939380646
1053,75,95th,bias_2,1.4132704257965087
1054,76,95th,bias_2,1.026747328042984
1055,77,95th,bias_2,0.7011517316102981
1056,78,95th,bias_2,0.19011462852358815
1057,79,95th,bias_2,0.29034442156553264
1058,80,95th,bias_2,0.5392737984657288
1059,81,95th,bias_2,0.9560858130455018
1060,82,95th,bias_2,0.9882246196269989
1061,83,95th,bias_2,2.02692357301712
1062,84,95th,bias_2,0.6101402282714844
1063,85,95th,bias_2,0.29412000179290765
1064,86,95th,bias_2,0.2954067081212997
1065,87,95th,bias_2,0.7709041833877563
1066,88,95th,bias_2,0.4882006391882896
1067,89,95th,bias_2,1.0434733152389526
1068,1,5th,gamma,0.9035145342350006
1069,2,5th,gamma,0.9120490759611131
1070,3,5th,gamma,0.9385901242494583
1071,4,5th,gamma,0.9467206865549087
1072,5,5th,gamma,0.9116963028907775
1073,6,5th,gamma,0.956128841638565
1074,7,5th,gamma,0.9428179860115051
1075,8,5th,gamma,0.9405650675296784
1076,9,5th,gamma,0.9004589438438416
1077,10,5th,gamma,0.9335634320974351
1078,11,5th,gamma,0.9058438092470169
1079,12,5th,gamma,0.9553431093692779
1080,13,5th,gamma,0.9429024189710618
1081,14,5th,gamma,0.9200983494520187
1082,15,5th,gamma,0.9328400820493697
1083,16,5th,gamma,0.9546569764614106
1084,17,5th,gamma,0.9164623320102692
1085,18,5th,gamma,0.9391068905591965
1086,19,5th,gamma,0.9665799587965012
1087,20,5th,gamma,0.902525681257248
1088,21,5th,gamma,0.9225625902414322
1089,22,5th,gamma,0.9222729831933976
1090,23,5th,gamma,0.9440457433462143
1091,24,5th,gamma,0.9378814727067948
1092,25,5th,gamma,0.9073269873857499
1093,26,5th,gamma,0.9552490383386611
1094,27,5th,gamma,0.9311339139938355
1095,28,5th,gamma,0.9171505630016327
1096,29,5th,gamma,0.9696203708648682
1097,30,5th,gamma,0.9666564553976059
1098,31,5th,gamma,0.9435629934072495
1099,32,5th,gamma,0.9476043283939362
1100,33,5th,gamma,0.9674154251813889
1101,34,5th,gamma,0.9239413946866989
1102,35,5th,gamma,0.9404381811618805
1103,36,5th,gamma,0.9586021453142166
1104,37,5th,gamma,0.8996260762214661
1105,38,5th,gamma,0.9414089500904084
1106,39,5th,gamma,0.8969809651374817
1107,40,5th,gamma,0.9694145411252975
1108,41,5th,gamma,0.9439749032258987
1109,42,5th,gamma,0.952684062719345
1110,43,5th,gamma,0.9259630590677261
1111,44,5th,gamma,0.9582446992397309
1112,45,5th,gamma,0.9660473704338073
1113,46,5th,gamma,0.9616018146276474
1114,47,5th,gamma,0.9278443962335586
1115,48,5th,gamma,0.959596648812294
1116,49,5th,gamma,0.9305307120084763
1117,50,5th,gamma,0.9427037596702575
1118,51,5th,gamma,0.9018048465251922
1119,52,5th,gamma,0.9322819858789444
1120,53,5th,gamma,0.9689041346311569
1121,54,5th,gamma,0.8182418823242187
1122,55,5th,gamma,0.9159989416599273
1123,56,5th,gamma,0.9707563310861588
1124,57,5th,gamma,0.9510485321283341
1125,58,5th,gamma,0.9498994916677475
1126,59,5th,gamma,0.9387418478727341
1127,60,5th,gamma,0.9557093888521194
1128,61,5th,gamma,0.9466071516275406
1129,62,5th,gamma,0.9672431796789169
1130,63,5th,gamma,0.9158431231975556
1131,64,5th,gamma,0.9075482487678528
1132,65,5th,gamma,0.9593776106834412
1133,66,5th,gamma,0.9709443509578705
1134,67,5th,gamma,0.954189446568489
1135,68,5th,gamma,0.9440628230571747
1136,69,5th,gamma,0.920459070801735
1137,70,5th,gamma,0.9546210318803787
1138,71,5th,gamma,0.9109503746032714
1139,72,5th,gamma,0.9363772749900818
1140,73,5th,gamma,0.8347082644701004
1141,74,5th,gamma,0.9552678585052491
1142,75,5th,gamma,0.9101219713687897
1143,76,5th,gamma,0.9521170765161514
1144,77,5th,gamma,0.8862116396427154
1145,78,5th,gamma,0.9465352386236191
1146,79,5th,gamma,0.88051395714283
1147,80,5th,gamma,0.9344061970710754
1148,81,5th,gamma,0.9304259300231934
1149,82,5th,gamma,0.9699346512556076
1150,83,5th,gamma,0.9741855263710022
1151,84,5th,gamma,0.9328063875436783
1152,85,5th,gamma,0.9649289578199387
1153,86,5th,gamma,0.8637977361679078
1154,87,5th,gamma,0.8764653503894806
1155,88,5th,gamma,0.9538891881704331
1156,89,5th,gamma,0.9680624723434449
1157,1,median,gamma,0.9802706241607666
1158,2,median,gamma,0.9794524908065796
1159,3,median,gamma,0.9817878603935242
1160,4,median,gamma,0.9846965670585632
1161,5,median,gamma,0.9775936603546143
1162,6,median,gamma,0.9892473518848419
1163,7,median,gamma,0.9830889403820038
1164,8,median,gamma,0.9783048629760742
1165,9,median,gamma,0.9786634743213654
1166,10,median,gamma,0.9839641153812408
1167,11,median,gamma,0.9795715510845184
1168,12,median,gamma,0.9889526069164276
1169,13,median,gamma,0.9848665595054626
1170,14,median,gamma,0.9817683100700378
1171,15,median,gamma,0.9831745326519012
1172,16,median,gamma,0.9887426793575287
1173,17,median,gamma,0.9839644134044647
1174,18,median,gamma,0.9873524606227875
1175,19,median,gamma,0.9896047115325928
1176,20,median,gamma,0.9771267771720886
1177,21,median,gamma,0.9801815152168274
1178,22,median,gamma,0.9822099208831787
1179,23,median,gamma,0.9832888245582581
1180,24,median,gamma,0.9845099747180939
1181,25,median,gamma,0.9797360002994537
1182,26,median,gamma,0.985983818769455
1183,27,median,gamma,0.9848750233650208
1184,28,median,gamma,0.9801555871963501
1185,29,median,gamma,0.9915406405925751
1186,30,median,gamma,0.9905987977981567
1187,31,median,gamma,0.9821812510490417
1188,32,median,gamma,0.9867523312568665
1189,33,median,gamma,0.9895602762699127
1190,34,median,gamma,0.9838846027851105
1191,35,median,gamma,0.9838352203369141
1192,36,median,gamma,0.9893707931041718
1193,37,median,gamma,0.9789218008518219
1194,38,median,gamma,0.9858177900314331
1195,39,median,gamma,0.976433277130127
1196,40,median,gamma,0.9910889267921448
1197,41,median,gamma,0.985031396150589
1198,42,median,gamma,0.9884161949157715
1199,43,median,gamma,0.9838834404945374
1200,44,median,gamma,0.9887827038764954
1201,45,median,gamma,0.9889531433582306
1202,46,median,gamma,0.9889660775661469
1203,47,median,gamma,0.9834194779396057
1204,48,median,gamma,0.9894145727157593
1205,49,median,gamma,0.9841827750205994
1206,50,median,gamma,0.985964447259903
1207,51,median,gamma,0.9719092547893524
1208,52,median,gamma,0.9832152724266052
1209,53,median,gamma,0.9918034374713898
1210,54,median,gamma,0.9492888152599335
1211,55,median,gamma,0.9822967648506165
1212,56,median,gamma,0.9909428954124451
1213,57,median,gamma,0.9855669140815735
1214,58,median,gamma,0.984912782907486
1215,59,median,gamma,0.983976811170578
1216,60,median,gamma,0.9887465238571167
1217,61,median,gamma,0.9853563904762268
1218,62,median,gamma,0.9908076524734497
1219,63,median,gamma,0.9810881614685059
1220,64,median,gamma,0.9812755286693573
1221,65,median,gamma,0.9892363250255585
1222,66,median,gamma,0.9917543828487396
1223,67,median,gamma,0.9879625737667084
1224,68,median,gamma,0.9835635423660278
1225,69,median,gamma,0.9795587360858917
1226,70,median,gamma,0.9881287813186646
1227,71,median,gamma,0.9574875235557556
1228,72,median,gamma,0.9822835326194763
1229,73,median,gamma,0.9647658467292786
1230,74,median,gamma,0.987793356180191
1231,75,median,gamma,0.977728396654129
1232,76,median,gamma,0.9866892099380493
1233,77,median,gamma,0.9795942008495331
1234,78,median,gamma,0.9842140078544617
1235,79,median,gamma,0.9765022695064545
1236,80,median,gamma,0.9872957766056061
1237,81,median,gamma,0.9814348816871643
1238,82,median,gamma,0.9900467097759247
1239,83,median,gamma,0.9918408393859863
1240,84,median,gamma,0.9867163896560669
1241,85,median,gamma,0.9883467555046082
1242,86,median,gamma,0.9642722308635712
1243,87,median,gamma,0.9724731743335724
1244,88,median,gamma,0.9880407154560089
1245,89,median,gamma,0.9906347692012787
1246,1,95th,gamma,0.9961080729961396
1247,2,95th,gamma,0.9956288576126099
1248,3,95th,gamma,0.994799017906189
1249,4,95th,gamma,0.9961708128452301
1250,5,95th,gamma,0.9950234234333039
1251,6,95th,gamma,0.997613924741745
1252,7,95th,gamma,0.995876920223236
1253,8,95th,gamma,0.9930084317922592
1254,9,95th,gamma,0.9955048829317092
1255,10,95th,gamma,0.9961398512125016
1256,11,95th,gamma,0.9950546652078628
1257,12,95th,gamma,0.9972337633371353
1258,13,95th,gamma,0.9962445229291916
1259,14,95th,gamma,0.9963818460702896
1260,15,95th,gamma,0.9967315077781678
1261,16,95th,gamma,0.9970620274543762
1262,17,95th,gamma,0.9968018472194671
1263,18,95th,gamma,0.9973669707775117
1264,19,95th,gamma,0.9969571024179459
1265,20,95th,gamma,0.9944977045059203
1266,21,95th,gamma,0.995877805352211
1267,22,95th,gamma,0.9961763381958008
1268,23,95th,gamma,0.9955605953931809
1269,24,95th,gamma,0.9963114112615585
1270,25,95th,gamma,0.9954747796058655
1271,26,95th,gamma,0.9957111299037933
1272,27,95th,gamma,0.9968500256538391
1273,28,95th,gamma,0.9948353230953216
1274,29,95th,gamma,0.9975379943847656
1275,30,95th,gamma,0.9969297260046005
1276,31,95th,gamma,0.9946439862251282
1277,32,95th,gamma,0.9974001586437226
1278,33,95th,gamma,0.9967030704021455
1279,34,95th,gamma,0.9968679994344711
1280,35,95th,gamma,0.9959475219249725
1281,36,95th,gamma,0.9972976565361023
1282,37,95th,gamma,0.9955008685588836
1283,38,95th,gamma,0.9965136170387269
1284,39,95th,gamma,0.9949601650238038
1285,40,95th,gamma,0.9972443372011184
1286,41,95th,gamma,0.9964266210794449
1287,42,95th,gamma,0.9971430689096451
1288,43,95th,gamma,0.996972593665123
1289,44,95th,gamma,0.9972233384847641
1290,45,95th,gamma,0.996537658572197
1291,46,95th,gamma,0.9968549579381942
1292,47,95th,gamma,0.9958299756050111
1293,48,95th,gamma,0.9975029587745666
1294,49,95th,gamma,0.9965691596269608
1295,50,95th,gamma,0.9960041254758836
1296,51,95th,gamma,0.9929961591958999
1297,52,95th,gamma,0.9959502637386322
1298,53,95th,gamma,0.9980026125907898
1299,54,95th,gamma,0.987464439868927
1300,55,95th,gamma,0.9965845108032226
1301,56,95th,gamma,0.9973157674074173
1302,57,95th,gamma,0.9955533742904663
1303,58,95th,gamma,0.9960523664951325
1304,59,95th,gamma,0.996082878112793
1305,60,95th,gamma,0.9973177909851074
1306,61,95th,gamma,0.9959658712148666
1307,62,95th,gamma,0.9971563398838044
1308,63,95th,gamma,0.9960303544998169
1309,64,95th,gamma,0.9954966455698013
1310,65,95th,gamma,0.997320032119751
1311,66,95th,gamma,0.997577890753746
1312,67,95th,gamma,0.9972961336374283
1313,68,95th,gamma,0.9952359288930893
1314,69,95th,gamma,0.9949767172336578
1315,70,95th,gamma,0.9967056065797806
1316,71,95th,gamma,0.98092600107193
1317,72,95th,gamma,0.9954629659652711
1318,73,95th,gamma,0.9942826628684998
1319,74,95th,gamma,0.9968020617961884
1320,75,95th,gamma,0.9951954931020737
1321,76,95th,gamma,0.9964882850646972
1322,77,95th,gamma,0.9958978503942489
1323,78,95th,gamma,0.9952720046043396
1324,79,95th,gamma,0.9957152724266052
1325,80,95th,gamma,0.9974748462438583
1326,81,95th,gamma,0.9952440619468689
1327,82,95th,gamma,0.9968056499958038
1328,83,95th,gamma,0.9971929490566254
1329,84,95th,gamma,0.9974981635808945
1330,85,95th,gamma,0.9962485015392304
1331,86,95th,gamma,0.9902916222810745
1332,87,95th,gamma,0.9943158268928528
1333,88,95th,gamma,0.9970981031656265
1334,89,95th,gamma,0.997365614771843
1335,1,5th,kappa,0.6830137968063354
1336,2,5th,kappa,0.9152925431728363
1337,3,5th,kappa,0.7590504050254823
1338,4,5th,kappa,0.7006916016340257
1339,5,5th,kappa,0.7820121556520462
1340,6,5th,kappa,1.0329975664615632
1341,7,5th,kappa,0.4778387278318405
1342,8,5th,kappa,0.5558129101991653
1343,9,5th,kappa,0.7024198055267334
1344,10,5th,kappa,0.6450100243091583
1345,11,5th,kappa,0.872675609588623
1346,12,5th,kappa,0.9970217734575272
1347,13,5th,kappa,0.627183535695076
1348,14,5th,kappa,0.9630406767129898
1349,15,5th,kappa,0.9303492963314057
1350,16,5th,kappa,0.5616107016801833
1351,17,5th,kappa,0.8582473695278168
1352,18,5th,kappa,0.6642283380031585
1353,19,5th,kappa,0.5472905397415161
1354,20,5th,kappa,0.5570936292409897
1355,21,5th,kappa,1.0201526224613189
1356,22,5th,kappa,1.0889374136924745
1357,23,5th,kappa,0.7049962401390076
1358,24,5th,kappa,0.5236838310956955
1359,25,5th,kappa,0.9227115541696549
1360,26,5th,kappa,0.7821217805147171
1361,27,5th,kappa,0.44427550584077835
1362,28,5th,kappa,0.9285246729850769
1363,29,5th,kappa,0.8095572650432586
1364,30,5th,kappa,1.086913824081421
1365,31,5th,kappa,0.5734673500061035
1366,32,5th,kappa,0.6834496319293977
1367,33,5th,kappa,0.6507168024778366
1368,34,5th,kappa,0.8512603580951691
1369,35,5th,kappa,0.6424977272748947
1370,36,5th,kappa,1.0722902953624724
1371,37,5th,kappa,0.5892410188913346
1372,38,5th,kappa,0.6687099575996399
1373,39,5th,kappa,0.7520165741443634
1374,40,5th,kappa,0.5147633284330368
1375,41,5th,kappa,0.6406379610300065
1376,42,5th,kappa,1.0059568464756012
1377,43,5th,kappa,0.6890232026576996
1378,44,5th,kappa,1.0353750050067902
1379,45,5th,kappa,0.6053795129060745
1380,46,5th,kappa,0.6012554317712784
1381,47,5th,kappa,0.988222312927246
1382,48,5th,kappa,1.0179526388645173
1383,49,5th,kappa,0.7530151039361954
1384,50,5th,kappa,0.9070907682180405
1385,51,5th,kappa,0.6717206776142121
1386,52,5th,kappa,1.0293645858764648
1387,53,5th,kappa,0.5411371022462844
1388,54,5th,kappa,0.6486457139253616
1389,55,5th,kappa,0.8811647444963455
