,subjects,variables,parameter,value
140,52,median,beta_1,3.783505853677006e-44
141,53,median,beta_1,3.783505853677006e-44
142,54,median,beta_1,3.783505853677006e-44
143,55,median,beta_1,3.783505853677006e-44
144,56,median,beta_1,3.783505853677006e-44
145,57,median,beta_1,3.783505853677006e-44
146,58,median,beta_1,3.783505853677006e-44
147,59,median,beta_1,3.783505853677006e-44
148,60,median,beta_1,3.783505853677006e-44
149,61,median,beta_1,3.783505853677006e-44
150,62,median,beta_1,3.783505853677006e-44
151,63,median,beta_1,3.783505853677006e-44
152,64,median,beta_1,3.783505853677006e-44
153,65,median,beta_1,3.783505853677006e-44
154,66,median,beta_1,3.783505853677006e-44
155,67,median,beta_1,3.783505853677006e-44
156,68,median,beta_1,3.783505853677006e-44
157,69,median,beta_1,3.783505853677006e-44
158,70,median,beta_1,3.783505853677006e-44
159,71,median,beta_1,3.783505853677006e-44
160,72,median,beta_1,3.783505853677006e-44
161,73,median,beta_1,3.783505853677006e-44
162,74,median,beta_1,3.783505853677006e-44
163,75,median,beta_1,3.783505853677006e-44
164,76,median,beta_1,3.783505853677006e-44
165,77,median,beta_1,3.783505853677006e-44
166,78,median,beta_1,3.783505853677006e-44
167,79,median,beta_1,3.783505853677006e-44
168,80,median,beta_1,3.783505853677006e-44
169,81,median,beta_1,3.783505853677006e-44
170,82,median,beta_1,3.783505853677006e-44
171,83,median,beta_1,3.783505853677006e-44
172,84,median,beta_1,3.783505853677006e-44
173,85,median,beta_1,3.783505853677006e-44
174,86,median,beta_1,3.783505853677006e-44
175,87,median,beta_1,3.783505853677006e-44
176,88,median,beta_1,3.783505853677006e-44
177,89,median,beta_1,3.783505853677006e-44
178,1,95th,beta_1,3.783505853677006e-44
179,2,95th,beta_1,3.783505853677006e-44
180,3,95th,beta_1,3.783505853677006e-44
181,4,95th,beta_1,3.783505853677006e-44
182,5,95th,beta_1,3.783505853677006e-44
183,6,95th,beta_1,3.783505853677006e-44
184,7,95th,beta_1,3.783505853677006e-44
185,8,95th,beta_1,3.783505853677006e-44
186,9,95th,beta_1,3.783505853677006e-44
187,10,95th,beta_1,3.783505853677006e-44
188,11,95th,beta_1,3.783505853677006e-44
189,12,95th,beta_1,3.783505853677006e-44
190,13,95th,beta_1,3.783505853677006e-44
191,14,95th,beta_1,3.783505853677006e-44
192,15,95th,beta_1,3.783505853677006e-44
193,16,95th,beta_1,3.783505853677006e-44
194,17,95th,beta_1,3.783505853677006e-44
195,18,95th,beta_1,3.783505853677006e-44
196,19,95th,beta_1,3.783505853677006e-44
197,20,95th,beta_1,3.783505853677006e-44
198,21,95th,beta_1,3.783505853677006e-44
199,22,95th,beta_1,3.783505853677006e-44
200,23,95th,beta_1,3.783505853677006e-44
201,24,95th,beta_1,3.783505853677006e-44
202,25,95th,beta_1,3.783505853677006e-44
203,26,95th,beta_1,3.783505853677006e-44
204,27,95th,beta_1,3.783505853677006e-44
205,28,95th,beta_1,3.783505853677006e-44
206,29,95th,beta_1,3.783505853677006e-44
207,30,95th,beta_1,3.783505853677006e-44
208,31,95th,beta_1,3.783505853677006e-44
209,32,95th,beta_1,3.783505853677006e-44
210,33,95th,beta_1,3.783505853677006e-44
211,34,95th,beta_1,3.783505853677006e-44
212,35,95th,beta_1,3.783505853677006e-44
213,36,95th,beta_1,3.783505853677006e-44
214,37,95th,beta_1,3.783505853677006e-44
215,38,95th,beta_1,3.783505853677006e-44
216,39,95th,beta_1,3.783505853677006e-44
217,40,95th,beta_1,3.783505853677006e-44
218,41,95th,beta_1,3.783505853677006e-44
219,42,95th,beta_1,3.783505853677006e-44
220,43,95th,beta_1,3.783505853677006e-44
221,44,95th,beta_1,3.783505853677006e-44
222,45,95th,beta_1,3.783505853677006e-44
223,46,95th,beta_1,3.783505853677006e-44
224,47,95th,beta_1,3.783505853677006e-44
225,48,95th,beta_1,3.783505853677006e-44
226,49,95th,beta_1,3.783505853677006e-44
227,50,95th,beta_1,3.783505853677006e-44
228,51,95th,beta_1,3.783505853677006e-44
229,52,95th,beta_1,3.783505853677006e-44
230,53,95th,beta_1,3.783505853677006e-44
231,54,95th,beta_1,3.783505853677006e-44
232,55,95th,beta_1,3.783505853677006e-44
233,56,95th,beta_1,3.783505853677006e-44
234,57,95th,beta_1,3.783505853677006e-44
235,58,95th,beta_1,3.783505853677006e-44
236,59,95th,beta_1,3.783505853677006e-44
237,60,95th,beta_1,3.783505853677006e-44
238,61,95th,beta_1,3.783505853677006e-44
239,62,95th,beta_1,3.783505853677006e-44
240,63,95th,beta_1,3.783505853677006e-44
241,64,95th,beta_1,3.783505853677006e-44
242,65,95th,beta_1,3.783505853677006e-44
243,66,95th,beta_1,3.783505853677006e-44
244,67,95th,beta_1,3.783505853677006e-44
245,68,95th,beta_1,3.783505853677006e-44
246,69,95th,beta_1,3.783505853677006e-44
247,70,95th,beta_1,3.783505853677006e-44
248,71,95th,beta_1,3.783505853677006e-44
249,72,95th,beta_1,3.783505853677006e-44
250,73,95th,beta_1,3.783505853677006e-44
251,74,95th,beta_1,3.783505853677006e-44
252,75,95th,beta_1,3.783505853677006e-44
253,76,95th,beta_1,3.783505853677006e-44
254,77,95th,beta_1,3.783505853677006e-44
