,elbo,segment
0,10434.791552540659,0
1,9984.461967010795,0
2,9612.887619108707,0
3,9284.282574625315,0
4,9127.996127730608,0
5,8911.847333991527,0
6,8819.525516054033,0
7,8739.169464235008,0
8,8660.011381307246,0
9,8543.42099942416,0
10,8502.496298471093,0
11,8439.998441927135,0
12,8405.067244414986,0
13,8416.77544695735,0
14,8352.840070061386,0
15,8359.55898140967,0
16,8347.109989274293,0
17,8326.279816344007,0
18,8312.64676619377,0
19,8286.062454529107,0
20,8301.770973251016,0
21,8304.253428034484,0
22,8264.116681049765,0
23,8280.729939746858,0
24,8260.168048264086,0
25,8254.515882044285,0
26,8245.99801210165,0
27,8245.120955581962,0
28,8250.010700108856,0
29,8238.149304240942,0
30,8233.672982787342,0
31,8232.763883315773,0
32,8231.473875001073,0
33,8230.835443898291,0
34,8228.384919922797,0
35,8226.877272563055,0
36,8223.709554243833,0
37,8231.438652649524,0
38,8224.93991605416,0
39,8227.940835027397,0
40,8219.572157307713,0
41,8224.31090112254,0
42,8221.266117202491,0
43,8220.17892126888,0
44,8221.985555510222,0
45,8220.675830377637,0
46,8226.528988580407,0
47,8217.717833031715,0
48,8221.143648186326,0
49,8218.04955545217,0
50,8216.70880266726,0
51,8217.802741784602,0
52,8218.701024389267,0
53,8215.305135592818,0
54,8215.702325598895,0
55,8215.766697320341,0
56,8215.994987810402,0
57,8216.352251569926,0
58,8214.728933770955,0
59,8216.254338871688,0
60,8217.161725562066,0
61,8214.26428956315,0
62,8213.22897399962,0
63,8214.900898972153,0
64,8214.139101104438,0
65,8214.39505899027,0
66,8212.780776463449,0
67,8215.32777331099,0
68,8213.851179834455,0
69,8213.41165559441,0
70,8212.32874815315,0
71,8211.696908031405,0
72,8212.906542538107,0
73,8213.134266433119,0
74,8213.044035500287,0
75,8211.790221035479,0
76,8213.87264719233,0
77,8211.518799319863,0
78,8212.410136426985,0
79,8211.56637589261,0
80,8211.649525235594,0
81,8213.465208104251,0
82,8212.699958738684,0
83,8212.522401857377,0
84,8213.203995180129,0
85,8212.784200873226,0
86,8213.475554944574,0
87,8213.437292324006,0
88,8212.004365667703,0
89,8211.318665964902,0
90,8210.853329124302,0
91,8212.184163614362,0
92,8211.690299087017,0
93,8212.78259182945,0
94,8212.474822974204,0
95,8213.07332482636,0
96,8213.497059895097,0
97,8212.497827709467,0
98,8211.346117173136,0
99,8212.496703064442,0
100,8212.13461220786,0
101,8212.425003242492,0
102,8212.978671306371,0
103,8210.746913909168,0
104,8213.417258603871,0
105,8212.303278565407,0
106,8212.908155147732,0
107,8212.507065875085,0
108,8213.191147740186,0
109,8212.128136615454,0
110,8212.394234259427,0
