,elbo,phase
0,9798.266002839804,0
1,9246.388961344957,0
2,8787.326869744062,0
3,8348.777380397916,0
4,8005.046673467754,0
5,7855.977389466761,0
6,7745.145960545539,0
7,7744.253024733067,0
8,7622.469010472298,0
9,7550.132000279427,0
10,7560.420854514838,0
11,7504.975366839766,0
12,7499.303784292936,0
13,7441.163233089446,0
14,7474.596380424499,0
15,7457.152849942444,0
16,7410.7676009714605,0
17,7380.902872234583,0
18,7441.075733965636,0
19,7357.584263694285,0
20,7381.745333608985,0
21,7303.3738325774675,0
22,7346.772585672141,0
23,7307.867363905906,0
24,7312.097129839659,0
25,7275.481973119079,0
26,7270.349520736934,0
27,7281.817519435287,0
28,7185.397427764536,0
29,7227.658216798305,0
30,7181.882290998101,0
31,7183.542607575655,0
32,7188.15533900559,0
33,7158.534953714907,0
34,7151.898779284955,0
35,7159.923468571901,0
36,7277.877409985662,0
37,7124.990916869046,0
38,7144.838339853288,0
39,7155.053349667789,0
40,7106.7991915009925,0
41,7121.637640962004,0
42,7093.467906911671,0
43,7186.638108417392,0
44,7115.604148951174,0
45,7114.832946145534,0
46,7101.102256807684,0
47,7099.110803315044,0
48,7079.2438645571465,0
49,7078.937250018119,0
50,7075.88641810715,0
51,7068.680377876758,0
52,7069.7538985103365,0
53,7084.130093050004,0
54,7077.063218346238,0
55,7064.707052633166,0
56,7066.746547417341,0
57,7069.079803973436,0
58,7091.497621840238,0
59,7062.409357295931,0
60,7049.049512216448,0
61,7055.718563874811,0
62,7060.353426237777,0
63,7045.830596458912,0
64,7047.020093467831,0
65,7048.385405808686,0
66,7040.587583982944,0
67,7044.258260452747,0
68,7030.587296300381,0
69,7032.117203560472,0
70,7041.361156967283,0
71,7042.432650461793,0
72,7038.992829331755,0
73,7025.210746991635,0
74,7031.0369607865805,0
75,7015.072133654357,0
76,7024.099257912486,0
77,7027.969370064139,0
78,7024.488704407215,0
79,7028.782956039906,0
80,7018.576993262768,0
81,7020.652428343146,0
82,7033.662803922593,0
83,7022.82862765491,0
84,7021.326328048111,0
85,7018.922033125162,0
86,7010.630032116174,0
87,7013.984807434678,0
88,7019.408248481154,0
89,7020.31140473485,0
90,7017.494618758559,0
91,7019.20238597095,0
92,7013.369672858715,0
93,7014.677952124179,0
94,7015.696151050926,0
95,7012.523723238707,0
96,7016.513772124052,0
97,7025.515493699909,0
98,7017.942395600676,0
99,7009.528857293725,0
100,7007.383387611807,0
101,7008.8973942399025,0
102,7015.2480611711735,0
103,7015.530129444599,0
104,7017.978013753891,0
105,7010.327368322015,0
106,7013.938202896714,0
107,7008.9837390273815,0
108,7013.600239786505,0
109,7016.5380715549,0
110,7001.242113906145,0
111,7006.131642854214,0
112,7013.226949486137,0
113,7009.2444447755815,0
114,7003.579874414205,0
115,7008.401804715395,0
116,7003.729247921706,0
117,7011.128810149431,0
118,7008.3718195557585,0
119,7010.906953006982,0
120,7008.36826030612,0
121,7005.726600785553,0
122,6996.710143733025,0
123,7005.679212689399,0
124,6999.931277887524,0
125,7004.913606475294,0
126,7005.868603926897,0
127,7000.310565787553,0
128,6997.683805060387,0
129,7002.300194886326,0
130,7008.6013151705265,0
131,7005.11728720665,0
132,6996.679883137345,0
133,6994.684766095877,0
134,7001.048236179353,0
135,6995.6454349160185,0
136,6999.112957865,0
137,6996.076186510921,0
138,7000.355966454744,0
139,7001.4010198473925,0
140,6998.93786712885,0
141,6998.764557990431,0
142,6998.778101915121,0
143,6991.150830638408,0
144,6993.192838007211,0
145,7002.231263291835,0
146,7013.486132347583,0
147,6999.4513141334055,0
148,6996.988907712698,0
149,6986.910919940471,0
150,6997.274052289128,0
151,6994.165863281489,0
152,7004.89297901541,0
