,elbo,condition
258,8188.284878986702,medium
259,8183.234747936576,medium
260,8175.5290255468335,medium
261,8171.888998373598,medium
262,8187.977218014003,medium
263,8158.964484781027,medium
264,8154.960218163952,medium
265,8157.4269981980315,medium
266,8147.769615263493,medium
267,8159.3111092865465,medium
268,8165.132468748095,medium
269,8166.048750528692,medium
270,8160.783515806497,medium
271,8137.899703750014,medium
272,8146.543233886362,medium
273,8151.989906466008,medium
274,8149.96901344359,medium
275,8206.577587930857,medium
276,8145.680146133899,medium
277,8149.191523614526,medium
278,8145.278655588628,medium
279,8160.977606789767,medium
280,8135.245572578161,medium
281,8156.309681926668,medium
282,8160.628224237264,medium
283,8145.42735300958,medium
284,8147.972945126891,medium
285,8151.360509350896,medium
286,8135.664669632912,medium
287,8128.212786090374,medium
288,8139.39967519641,medium
289,8194.722597117723,medium
290,8135.876320470869,medium
291,8131.259364032745,medium
292,8134.741113592685,medium
293,8138.901810498535,medium
294,8129.664372438193,medium
295,8134.108132761717,medium
296,8131.588471469284,medium
297,8155.636899401247,medium
298,8147.318757739664,medium
299,8141.259607169031,medium
300,8132.288937796652,medium
301,8134.7508844435215,medium
302,8130.116561725736,medium
303,8129.072615040839,medium
304,8132.686387416719,medium
305,8136.834909000992,medium
306,8134.146912105382,medium
307,8133.127789236605,medium
308,8132.90653011948,medium
309,8130.950269693136,medium
310,8133.5603861033915,medium
311,8127.952631704508,medium
312,8132.6466792762285,medium
313,8129.144605386258,medium
314,8127.70489770174,medium
315,8128.7018876284355,medium
316,8133.540093229711,medium
317,8128.349466755986,medium
318,8134.311932753026,medium
319,8126.949701824785,medium
320,8133.426498100162,medium
321,8123.159663838148,medium
322,8125.172680301965,medium
323,8127.735618771613,medium
324,8127.560339741409,medium
325,8126.223533555865,medium
326,8125.069107672572,medium
327,8133.617932988703,medium
328,8124.486072945596,medium
329,8131.2633071079845,medium
330,8135.585567897559,medium
331,8134.036332282423,medium
332,8124.415659481288,medium
333,8126.2294156581165,medium
334,8125.649215531349,medium
335,8123.276082062722,medium
336,8126.014789378642,medium
337,8134.630538341403,medium
338,8122.900793811679,medium
339,8121.240506158771,medium
340,8125.8684280157095,medium
341,8126.214445617795,medium
342,8130.850058431923,medium
343,8127.696650104225,medium
344,8122.729617708922,medium
345,8128.519348052144,medium
346,8125.087880158425,medium
347,8127.573975962399,medium
348,8125.641981381178,medium
349,8122.914300660789,medium
350,8128.82890572399,medium
351,8128.548416599632,medium
352,8124.512430144848,medium
353,8126.173335045575,medium
354,8121.468210147322,medium
355,8123.690879520774,medium
356,8125.691857868433,medium
357,8129.076910513639,medium
358,8122.54877229184,medium
359,8122.207693621517,medium
360,8118.949108180404,medium
361,8128.362555341423,medium
362,8128.344545209407,medium
363,8118.697645610572,medium
364,8124.712467101214,medium
365,8122.527380214633,medium
366,8118.539556387067,medium
367,8118.985830816627,medium
368,8126.651720640063,medium
369,8126.676111701131,medium
370,8123.900949302317,medium
371,8120.08810608387,medium
372,8125.806415556371,medium
373,8119.549191245437,medium
374,8123.174450865387,medium
375,8126.103829240798,medium
376,8122.755806583165,medium
377,8119.347005376219,medium
378,8122.889764043689,medium
379,8125.324419865013,medium
380,8127.362665215134,medium
381,8123.7064545556905,medium
382,8121.029117377103,medium
383,8127.087075401843,medium
384,8123.712088662386,medium
385,8125.863449269534,medium
386,8121.534635916352,medium
387,8123.436573790013,medium
388,8125.093321242929,medium
389,8123.100435510279,medium
390,8118.900630652905,medium
391,8121.698964859545,medium
392,8123.0533762633795,medium
393,8121.73698452264,medium
394,8121.551456853747,medium
395,8123.881999428569,medium
