,elbo,condition
92,7658.614410657809,hard
93,7662.424829661846,hard
94,7660.389686231316,hard
95,7666.419181986898,hard
96,7664.0968722039825,hard
97,7675.745820848644,hard
98,7660.849538370968,hard
99,7657.065255196019,hard
100,7663.731071798132,hard
101,7660.440491142495,hard
102,7661.031138971447,hard
103,7661.848853373527,hard
104,7655.9500425141305,hard
105,7651.983117610216,hard
106,7652.780790441297,hard
107,7654.702533963323,hard
108,7651.898436510563,hard
109,7656.6672021016475,hard
110,7654.547281121463,hard
111,7652.267061354965,hard
112,7654.697582252324,hard
113,7664.927369775623,hard
114,7652.91737076193,hard
115,7662.9104808356615,hard
116,7655.513411010057,hard
117,7655.361088976265,hard
118,7652.076598336547,hard
119,7659.936530261859,hard
120,7653.069049461931,hard
121,7651.771762697772,hard
122,7653.22404524535,hard
123,7650.966038239001,hard
124,7654.159155310319,hard
125,7651.74988240823,hard
126,7650.430378982798,hard
127,7658.853674841299,hard
128,7662.0485721088935,hard
129,7650.778836258501,hard
130,7655.702647542207,hard
131,7650.716339096428,hard
132,7655.769001989066,hard
133,7657.275618393347,hard
134,7653.125762511045,hard
135,7653.177796196938,hard
136,7657.906006122381,hard
137,7655.164960704,hard
138,7665.023838794231,hard
139,7653.045204077662,hard
140,7656.687479955703,hard
141,7656.937376705558,hard
142,7656.624973643571,hard
143,7653.438625935466,hard
144,7658.23983997032,hard
145,7654.330176111683,hard
146,7655.3117062285555,hard
147,7652.146383260935,hard
148,7654.505419023336,hard
149,7656.967853944005,hard
150,7653.875180493668,hard
151,7654.231860596686,hard
152,7654.913951596992,hard
153,7654.986831321568,hard
154,7653.189503421261,hard
155,7663.940665446222,hard
156,7652.495617017895,hard
157,7653.882677657157,hard
158,7650.517462205888,hard
159,7656.639292607457,hard
160,7651.924821417033,hard
161,7651.279178244993,hard
162,7651.445305194706,hard
163,7658.037021329999,hard
164,7651.6604149378845,hard
165,7652.184532424807,hard
166,7657.561011960357,hard
167,7651.6078821547335,hard
168,7651.8700920786705,hard
169,7653.886872498691,hard
170,7651.198407438024,hard
171,7651.960302270204,hard
172,7653.433022839576,hard
173,7653.697291561216,hard
174,7653.733472539484,hard
175,7651.04633583948,hard
176,7650.020274307579,hard
177,7650.707736816257,hard
178,7652.752323221416,hard
179,7653.152674914896,hard
180,7655.370740584283,hard
181,7652.74912871793,hard
182,7653.390904796868,hard
183,7654.0205889973795,hard
184,7652.011460009961,hard
185,7654.518910062312,hard
186,7650.284601254016,hard
187,7651.560590720177,hard
188,7651.006227278711,hard
189,7653.290425144137,hard
190,7651.015105430037,hard
191,7653.335474924743,hard
192,7651.35988310054,hard
193,7650.462514069676,hard
194,7650.958320058509,hard
195,7656.057186248899,hard
196,7651.796138983593,hard
197,7654.32401463762,hard
198,7650.261501015723,hard
199,7650.8659522544585,hard
200,8460.155256244541,medium
201,8074.115813529492,medium
202,7981.8463705495,medium
203,8088.5087488099925,medium
204,7905.546068876983,medium
205,7879.1017561942335,medium
206,7836.605764187872,medium
207,7868.525194311141,medium
208,7828.589630375801,medium
209,7809.409377464653,medium
210,7812.286834530531,medium
211,7780.126089128851,medium
212,7773.484444722533,medium
213,7741.72956713736,medium
214,7776.467019483448,medium
215,7760.301634037494,medium
216,7762.095512934029,medium
217,7760.570432956517,medium
218,7748.662284673751,medium
219,7731.819798803329,medium
220,7718.026078079642,medium
221,7721.104680836201,medium
222,7735.124164061248,medium
223,7710.605222344398,medium
224,7714.540871703625,medium
225,7728.3626544475555,medium
226,7707.09568145722,medium
227,7707.900722111763,medium
228,7697.028944577277,medium
229,7687.512782080473,medium
230,7701.818492175638,medium
231,7689.915349657089,medium
232,7687.694409723582,medium
233,7678.902981084584,medium
234,7691.869083553553,medium
235,7681.0152754277005,medium
236,7682.326296899468,medium
237,7674.580752635003,medium
238,7678.7503854185325,medium
239,7674.827326322346,medium
240,7678.545805110782,medium
241,7678.0062710270295,medium
