,elbo,phase
0,10629.849040457606,0
1,9297.06500917077,0
2,9116.387207251788,0
3,8585.236885732413,0
4,8505.387280064822,0
5,8270.762256026268,0
6,8409.25091381073,0
7,8207.347872400283,0
8,8006.121280115843,0
9,8105.253862512112,0
10,7811.983306932449,0
11,7841.507319301368,0
12,7794.3061016976835,0
13,7728.185086625814,0
14,7865.728634929657,0
15,7674.2776559531685,0
16,7648.0577071905145,0
17,7720.717098295689,0
18,7635.406217378379,0
19,7684.335138225556,0
20,7620.456024062632,0
21,7589.998776775598,0
22,7602.756493514776,0
23,7473.166845396161,0
24,7544.32476105094,0
25,7495.743943336606,0
26,7451.7707536518565,0
27,7432.517836406827,0
28,7487.626114177704,0
29,7388.179975169896,0
30,7348.061720468104,0
31,7351.153739812971,0
32,7338.4593024462465,0
33,7328.885318809748,0
34,7379.558507758378,0
35,7294.0662193059925,0
36,7405.2607420742515,0
37,7284.723106050492,0
38,7284.111579543353,0
39,7258.77683956027,0
40,7266.839995735883,0
41,7226.81480088234,0
42,7220.7230705112215,0
43,7206.605668398738,0
44,7193.504137071966,0
45,7167.170831760764,0
46,7176.315107429027,0
47,7160.076499366761,0
48,7135.4666512623435,0
49,7161.08090095222,0
50,7124.893231880665,0
51,7137.969400662185,0
52,7138.420382905008,0
53,7119.996599614621,0
54,7125.856894043089,0
55,7134.048721033336,0
56,7141.579687210917,0
57,7118.016159147024,0
58,7104.089221489429,0
59,7103.853555151821,0
60,7109.535744029283,0
61,7093.208469481765,0
62,7111.304872700573,0
63,7087.9749406218525,0
64,7075.580080889165,0
65,7088.899581068754,0
66,7104.498210677505,0
67,7079.965039235354,0
68,7114.510561567545,0
69,7080.390104162694,0
70,7066.971730071306,0
71,7078.372772963345,0
72,7083.509227375686,0
73,7069.969284248353,0
74,7066.547457104922,0
75,7068.880787791311,0
76,7067.864974425734,0
77,7087.325608590245,0
78,7068.8146464884285,0
79,7071.395992717147,0
80,7080.608240705728,0
81,7074.7296451747425,0
82,7062.410301963985,0
83,7059.523686754704,0
84,7053.428276875615,0
85,7067.961246313154,0
86,7055.213640756904,0
87,7062.8621840611095,0
88,7064.610919615627,0
89,7055.484389443695,0
90,7064.996180848777,0
91,7053.779272466898,0
92,7058.805119799079,0
93,7048.20565210879,0
94,7057.622090876102,0
95,7055.912649214267,0
96,7040.711110988259,0
97,7067.058909879625,0
98,7046.768778838218,0
99,7036.602308127284,0
100,7049.628920909762,0
101,7047.946335880459,0
102,7075.212237078696,0
103,7052.010883797705,0
104,7047.321371036022,0
105,7055.7593000412,0
106,7042.685167980194,0
107,7045.832987597586,0
108,7042.3747958123695,0
109,7043.474258694053,0
110,7048.273848316073,0
111,7034.172996534407,0
112,7038.080699606239,0
113,7040.690289893746,0
114,7035.806295098364,0
115,7037.306800022722,0
116,7041.066624228656,0
117,7031.420665338636,0
118,7041.83636726141,0
119,7039.540859089791,0
120,7045.753791670501,0
121,7044.548307478428,0
122,7031.79071019292,0
123,7047.80190389827,0
124,7031.102324903011,0
125,7031.706026674807,0
126,7032.214972405881,0
127,7033.619442510605,0
128,7037.085196000337,0
129,7037.6277520611875,0
130,7032.3731849603355,0
131,7033.529435484112,0
132,7036.331153859198,0
133,7027.724962329864,0
134,7029.029568999635,0
135,7026.174901801348,0
136,7031.466422750056,0
137,7030.667036597431,0
138,7034.027194175123,0
139,7037.52877099365,0
140,7032.923895300924,0
141,7026.478804196417,0
142,7029.905928787589,0
143,7026.823763993381,0
144,7031.231777048111,0
145,7030.634196543693,0
146,7023.279121104629,0
147,7024.440141370893,0
148,7029.82502040565,0
149,7029.028774158656,0
150,7033.029444748163,0
151,7029.792158043385,0
152,7021.024069060385,0
153,7025.243175783753,0
154,7026.387497159838,0
155,7021.430797934533,0
156,7029.998807737231,0
157,7028.589635499567,0
158,7028.223817396164,0
159,7029.085680231451,0
160,7025.790827503801,0
161,7034.185266898572,0
162,7019.26381734237,0
163,7020.683695086837,0
164,7024.634254354239,0
165,7022.782652527095,0
166,7021.9825134485955,0
167,7021.26427212581,0
168,7019.376200060547,0
169,7017.050459972024,0
170,7026.481960490347,0
171,7023.756781086327,0
172,7022.45484059453,0
173,7029.873769071699,0
174,7016.784300494193,0
175,7030.16250745058,0
176,7025.066013596952,0
177,7019.20137256831,0
178,7019.339324031769,0
179,7023.766311036051,0
180,7020.991596652568,0
181,7022.297079648078,0
182,7019.093596760928,0
183,7018.560145756602,0
184,7018.5961203098295,0
185,7014.58628333211,0
186,7013.57878666222,0
187,7023.451608838141,0
188,7020.318340919912,0
189,7014.265430390833,0
190,7014.529932931066,0
191,7020.406210704147,0
192,7010.14494178146,0
193,7011.771000693739,0
194,7012.592681021988,0
195,7010.853167290987,0
196,7006.842291909456,0
197,7015.67333613038,0
198,7021.2466065675035,0
199,7007.915357789397,0
200,12534.528324866296,1
201,9137.497507432103,1
202,8794.209838439523,1
203,8021.09351183176,1
204,8822.878303527832,1
205,8694.546940237284,1
206,7919.9794640183445,1
207,7883.125930231809,1
208,7538.889978802204,1
209,7487.51879183054,1
210,7482.687955117225,1
211,7428.6328716754915,1
212,7431.941648852826,1
213,7345.955117690563,1
214,7327.977721399069,1
215,7357.601015973091,1
216,7276.778003144264,1
217,7343.417457449437,1
218,7339.444686055183,1
219,7359.770407879352,1
220,7247.825672203303,1
221,7248.5503698706625,1
222,7251.945710921288,1
223,7238.263770949841,1
224,7209.715690279007,1
225,7204.299509257078,1
226,7178.4470678687085,1
227,7110.212446278333,1
228,7112.119167539477,1
229,7081.259697502851,1
230,7095.083624139428,1
231,7016.219147145748,1
232,7055.565500822664,1
233,7158.385420656205,1
234,7012.241067549586,1
235,7090.533394432068,1
236,7077.851183325053,1
237,6966.668767336011,1
238,7010.7700571119785,1
239,6998.074486666917,1
240,7087.995689594745,1
241,6982.917200648785,1
242,6986.092919972539,1
243,7054.03309482336,1
244,6920.3820812672375,1
245,6978.462014716863,1
246,6937.729897415637,1
247,6960.833379858734,1
248,6930.036083155869,1
249,6938.168422594666,1
250,6936.298535168172,1
251,6934.7778113365175,1
252,6897.436706492305,1
253,6901.122318348289,1
254,6889.987686279416,1
255,6904.510637977719,1
256,6950.470740294457,1
257,6837.932244473695,1
258,6919.091822919248,1
259,6847.472313848139,1
260,6866.03667897284,1
261,6865.266484218836,1
262,6874.105668842792,1
263,6825.504106631875,1
264,6836.509982943534,1
265,6847.960985803605,1
266,6841.1470426023,1
267,6790.639475005865,1
268,6798.846816161275,1
269,6817.838922646642,1
270,6801.512776815892,1
271,6821.076455044747,1
272,6788.760534995793,1
273,6768.6447555989025,1
274,6754.595569437743,1
275,6770.60848518908,1
276,6788.480451801419,1
277,6764.676811444759,1
278,6781.205475507677,1
279,6737.124023127556,1
280,6745.20115892887,1
281,6760.808448266984,1
282,6783.233848278224,1
283,6709.619163882731,1
284,6726.410741923748,1
285,6736.719151420891,1
286,6737.363447725772,1
287,6720.884548071027,1
288,6709.760148540138,1
289,6751.058660241963,1
290,6732.499446833133,1
291,6712.442206358911,1
292,6697.863561865687,1
293,6690.045172074437,1
294,6702.978769771754,1
