,elbo,condition
136,7110.102946612238,hard
137,7109.125815647841,hard
138,7110.203668972849,hard
139,7112.657649162413,hard
140,7105.613822096586,hard
141,7101.794260323048,hard
142,7118.025266355276,hard
143,7108.6517153620725,hard
144,7105.534990340471,hard
145,7110.33639498949,hard
146,7116.111229708791,hard
147,7109.461606767773,hard
148,7111.27651604116,hard
149,7109.735765162111,hard
150,7110.563315162062,hard
151,7109.338357526064,hard
152,7104.919464170933,hard
153,7104.344280979038,hard
154,7105.385858681799,hard
155,7107.214494231344,hard
156,7108.001421132684,hard
157,7112.381508624553,hard
158,7110.006356155872,hard
159,7114.6738995045425,hard
160,7107.148536813259,hard
161,7108.50023982227,hard
162,7112.486177873611,hard
163,7097.63853161931,hard
164,7110.684677365422,hard
165,7104.755723166465,hard
166,7114.998920369148,hard
167,7104.155589425563,hard
168,7107.963435968756,hard
169,7111.881723502277,hard
170,7110.540704584121,hard
171,7107.496064266562,hard
172,7102.883482453227,hard
173,7111.295107799768,hard
174,7105.904775390028,hard
175,7107.243966245652,hard
176,7105.777819374202,hard
177,7110.112259164453,hard
178,7106.953927516936,hard
179,7106.9396758303055,hard
180,7107.850752004982,hard
181,7106.284445923567,hard
182,7107.252466148139,hard
183,7100.899008223414,hard
184,7102.883141669631,hard
185,7101.113746640085,hard
186,7103.424639201165,hard
187,7101.983673486114,hard
188,7102.0763376384975,hard
189,7102.383045709134,hard
190,7103.875369775295,hard
191,7101.806890493632,hard
192,7102.9522061705575,hard
193,7103.243572035432,hard
194,7100.739271336794,hard
195,7099.389356130362,hard
196,7099.90156416595,hard
197,7101.9479558944695,hard
198,7100.616520106792,hard
199,7100.261140879989,hard
200,11222.8603410542,medium
201,9895.831540799141,medium
202,9569.70086045265,medium
203,8764.718447810412,medium
204,8551.78904337883,medium
205,8245.335834494233,medium
206,8262.232293140889,medium
207,8066.012145707011,medium
208,8025.405073210597,medium
209,8024.16785081923,medium
210,7904.03685952425,medium
211,7851.53631439507,medium
212,8168.724966409803,medium
213,7899.277376627922,medium
214,7855.093713593483,medium
215,7838.449204462768,medium
216,7814.857923090458,medium
217,7795.715523958206,medium
218,7854.6771666616205,medium
219,7824.9555727601055,medium
220,7785.844547653199,medium
221,7751.689035230874,medium
222,7811.687370461225,medium
223,7779.678522962332,medium
224,7742.027082046867,medium
225,7714.328980726003,medium
226,7732.856415438652,medium
227,7743.214586901665,medium
228,7716.905056604743,medium
229,7763.186431646347,medium
230,7668.23452937603,medium
231,7666.316935762763,medium
232,7710.379395413398,medium
233,7634.480993008614,medium
234,7654.450991597772,medium
235,7625.522843721509,medium
236,7576.663346326351,medium
237,7589.974037247896,medium
238,7557.2882286787035,medium
239,7551.742038720846,medium
240,7595.343464559316,medium
241,7544.878299546242,medium
242,7566.97663102001,medium
243,7504.25527677238,medium
244,7515.061711665988,medium
245,7529.964384034276,medium
246,7487.112471434474,medium
247,7600.933038893342,medium
248,7494.178643652797,medium
249,7455.013122302294,medium
250,7456.518023186923,medium
251,7454.299475273489,medium
252,7459.184775021672,medium
253,7517.790191256999,medium
254,7463.303316406905,medium
255,7415.526716965437,medium
256,7430.161533516646,medium
257,7440.377624952794,medium
258,7433.04509355724,medium
259,7422.979022589326,medium
260,7463.7133851856,medium
261,7424.125588159264,medium
262,7412.238004919886,medium
263,7414.4465949505575,medium
264,7427.109748235344,medium
265,7416.169780108333,medium
266,7398.94885596931,medium
267,7407.425912681222,medium
268,7412.728076182306,medium
269,7399.962863117457,medium
270,7402.140194381773,medium
271,7396.035029381514,medium
272,7399.482304306329,medium
273,7389.092936761677,medium
274,7373.489995980263,medium
275,7395.322212192416,medium
276,7370.383994073048,medium
277,7394.0395326644175,medium
278,7414.987231215835,medium
279,7391.5136880517,medium
280,7376.463311779499,medium
281,7397.942341357469,medium
282,7367.9272790581,medium
283,7369.98556969464,medium
284,7383.905215959251,medium
285,7396.364179442823,medium
